# started_utc=2025-11-04T11:27:19.811647Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:27:41.995022Z,174,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:42.112822Z,175,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:42.233901Z,176,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:42.354352Z,177,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:42.474515Z,178,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:42.592987Z,179,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:42.714185Z,180,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:42.833667Z,181,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:42.956483Z,182,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:43.077564Z,183,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
2025-11-04T11:27:43.198171Z,184,1,0,Classroom,0,global,30,30,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0
