# started_utc=2025-11-04T11:32:27.651693Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:32:38.825179Z,88,1,0,Classroom,1,8.0,,global,30,30,16,6,9,27,39,6,10,60,35,0,0,126,126,30,12,0,0
2025-11-04T11:32:38.948822Z,89,1,0,Classroom,1,8.0,,global,30,30,16,5,9,27,39,7,10,57,32,0,0,129,129,27,9,0,0
2025-11-04T11:32:39.073558Z,90,1,0,Classroom,1,8.0,,global,30,30,16,6,9,27,39,6,10,54,29,0,0,132,132,24,6,0,0
2025-11-04T11:32:39.197467Z,91,1,0,Classroom,1,8.0,,global,30,30,17,6,9,29,39,7,10,51,26,0,0,135,135,21,3,0,0
2025-11-04T11:32:39.321497Z,92,1,0,Classroom,1,8.0,,global,30,30,19,6,10,35,41,8,12,48,23,0,0,138,138,18,0,0,0
2025-11-04T11:32:39.445450Z,93,1,0,Classroom,1,8.0,,global,30,30,20,6,10,41,43,10,13,45,20,0,0,141,141,15,0,0,0
2025-11-04T11:32:39.579634Z,94,1,0,Classroom,1,8.0,,global,30,30,22,7,11,47,44,12,14,42,17,0,0,144,144,12,0,0,0
2025-11-04T11:32:39.701244Z,95,1,0,Classroom,1,8.0,,global,30,30,24,7,11,52,45,14,15,39,14,0,0,147,147,9,0,0,0
2025-11-04T11:32:39.825916Z,96,1,0,Classroom,1,8.0,,global,30,30,24,7,11,53,45,15,15,36,11,0,0,150,150,6,0,0,0
2025-11-04T11:32:39.950656Z,97,1,0,Classroom,1,8.0,,global,30,30,24,7,10,52,45,15,14,33,8,0,0,153,153,3,0,0,0
2025-11-04T11:32:40.078520Z,98,1,0,Classroom,1,8.0,,global,30,30,24,7,10,52,44,15,14,30,5,0,0,156,156,0,0,0,0
